ObjectId,Country,ISO2,ISO3,Indicator,Technology,Energy_Type,Unit,Source,CTS_Name,CTS_Code,CTS_Full_Descriptor,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
1,Advanced Economies,,AETMP,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",110529.797,106984.003,117152.932,124577.13,136127.431,151657.909,161590.493,169928.393,178116.559,183127.224,201274.551,208401.514,224807.603,239640.576,252158.172,264818.971,276056.357,283070.492,287896.712,293588.304,295120.203,305534.149,
2,Advanced Economies,,AETMP,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",17792.003,20663.083,21432.658,23152.272,24848.681,28096.593,30749.314,31856.922,33485.085,36617.876,38830.735,42510.597,44313.883,46735.884,48957.209,51141.829,53558.147,55928.762,58784.512,60506.886,61435.714,60191.382,61642.076
3,Advanced Economies,,AETMP,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",5564058.84,5504471.424,5688033.566,5840815.88,5916220.065,6052664.485,6067342.31,6301619.339,6223655.766,5849565.722,6215576.013,6185110.257,6192503.018,6103856.918,5966436.27,5895416.489,5862722.833,5724890.811,5783838.801,5557306.272,5242216.071,5399809.867,
4,Advanced Economies,,AETMP,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",1267339.571,1265214.258,1350450.715,1397287.372,1422326.361,1440027.309,1454353.983,1470708.44,1493345.325,1512781.767,1539637.321,1547066.958,1548594.145,1535785.321,1543697.011,1520695.067,1507693.183,1505545.142,1516077.653,1490202.489,1480381.56,1474449.617,1463021.433
5,Advanced Economies,,AETMP,Electricity Generation,Geothermal energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",26919.1,26474.1,27225.065,27854.065,28572.826,30147.859,31192.699,32547.085,33405.587,34713.42,35972.636,37192.016,38076.418,38936.706,40294.244,40949.973,40915.479,41097.443,41910.939,41890.201,42477.922,42591.53,
6,Advanced Economies,,AETMP,Electricity Installed Capacity,Geothermal energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",4506.2,3941.41,4027.45,3961.35,3915.38,4161.615,4337.195,4362.215,4588.815,4810.915,4994.615,5103.115,5295.615,5395.015,5466.315,5525.265,5509.774,5465.613,5501.243,5625.613,5687.313,5722.363,5729.212
7,Advanced Economies,,AETMP,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",1220326.376,1115676.713,1179495.489,1134872.316,1164233.756,1187312.556,1184984.948,1164649.933,1213120.145,1209430.258,1188947.62,1243961.205,1263112.98,1264381.188,1250084.074,1229010.124,1243652.987,1271437.354,1270053.139,1244244.169,1276611.798,1235735.409,
8,Advanced Economies,,AETMP,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",312093.01,316766.608,319756.578,320735.728,320862.224,323683.479,325195.678,327065.781,329184.946,330902.986,337050.919,338604.243,339528.789,340980.823,341549.459,346529.536,350020.772,351665.205,353760.499,354375.392,355702.403,357972.713,359274.756
9,Advanced Economies,,AETMP,Electricity Generation,Marine energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",539.307,516.933,526.433,523.368,501.176,508.895,483.265,488.293,480.12,479.398,507.837,556.986,955.411,916.925,990.064,998.806,1015.883,1021.124,994.348,968.282,950.082,944.108,
10,Advanced Economies,,AETMP,Electricity Installed Capacity,Marine energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",234,236,239,240,239,237,236,237,240,240.215,243.845,496.63,502.959,503.166,505.831,505.742,511.672,515.568,515.66,514.04,511.995,511.672,511.952
11,Advanced Economies,,AETMP,Electricity Generation,Nuclear,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",2211452,2239740,2248521,2199560,2293884,2319731,2325188,2248494,2247870,2215894,2246370,2045588.763,1905972.017,1920103.671,1940018.009,1922823.849,1912144.76,1892848.644,1921689.957,1932006.456,1807089.504,1857432.057,
